Name,NumWords,FirstName,MiddleName,LastName
Ladislaw Zamojski,2,Ladislaw,,Zamojski
Hassan Mostafa,2,Hassan,,Mostafa
Dorcas Meadowes,2,Dorcas,,Meadowes
C.S. Lewis,2,C.S.,,Lewis
Mrs. Prod,2,Mrs.,,Prod
Noriko Sato,2,Noriko,,Sato
Miles Bletchley,2,Miles,,Bletchley
Dougal McBride,2,Dougal,,McBride
Irma Pince,2,Irma,,Pince
Mrs. Abbott,2,Mrs.,,Abbott
Laurentia Fletwock,2,Laurentia,,Fletwock
Jocunda Sykes,2,Jocunda,,Sykes
Corban Yaxley,2,Corban,,Yaxley
Harold Skively,2,Harold,,Skively
Eldritch Diggory,2,Eldritch,,Diggory
Raul Almeida,2,Raul,,Almeida
Billie Holiday,2,Billie,,Holiday
Philbert Deverill,2,Philbert,,Deverill
Demelza Robins,2,Demelza,,Robins
Quentin Trimble,2,Quentin,,Trimble
Araminta Meliflua,2,Araminta,,Meliflua
Glanmore Peakes,2,Glanmore,,Peakes
Regulus Moonshine,2,Regulus,,Moonshine
Oscar Martinez,2,Oscar,,Martinez
Katherine Hepburn,2,Katherine,,Hepburn
Alejandra Alonso,2,Alejandra,,Alonso
Fleur Delacour,2,Fleur,,Delacour
Olive Hornby,2,Olive,,Hornby
Lord Baden Powell,3,Lord,Baden,Powell
Terry Boot,2,Terry,,Boot
Melinda Bobbin,2,Melinda,,Bobbin
Phyllida Spore,2,Phyllida,,Spore
Blaise Zabini,2,Blaise,,Zabini
Dennis Moon,2,Dennis,,Moon
Lyall Lupin,2,Lyall,,Lupin
Igor Karkaroff,2,Igor,,Karkaroff
Cadmus Peverell,2,Cadmus,,Peverell
Regulus Black,2,Regulus,,Black
Leta Lestrange,2,Leta,,Lestrange
Gregory Cotton,2,Gregory,,Cotton
Erica Stainwright,2,Erica,,Stainwright
Gaspard Shingleton,2,Gaspard,,Shingleton
Bathsheda Babbling,2,Bathsheda,,Babbling
Jacques Miskine,2,Jacques,,Miskine
Gondoline Oliphant,2,Gondoline,,Oliphant
Caradoc Dearborn,2,Caradoc,,Dearborn
Lorcan Scamander,2,Lorcan,,Scamander
Arsenius Jigger,2,Arsenius,,Jigger
Haile Selassie,2,Haile,,Selassie
Brad Pitt,2,Brad,,Pitt
Elfrida Clagg,2,Elfrida,,Clagg
Bob Vance,2,Bob,,Vance
Gulliver Pokeby,2,Gulliver,,Pokeby
Polly Chapman,2,Polly,,Chapman
Ambrosius Flume,2,Ambrosius,,Flume
Arkie Alderton,2,Arkie,,Alderton
Helmut Weiss,2,Helmut,,Weiss
Charlie Weasley,2,Charlie,,Weasley
Carlotta Pinkstone,2,Carlotta,,Pinkstone
Over-Attentive Wizard,2,Over-Attentive,,Wizard
Lars Lundekvam,2,Lars,,Lundekvam
Louis Weasley,2,Louis,,Weasley
Glynnis Griffiths,2,Glynnis,,Griffiths
Melania Macmillan,2,Melania,,Macmillan
Audrey Hepburn,2,Audrey,,Hepburn
Darren Floyd,2,Darren,,Floyd
Tilly Toke,2,Tilly,,Toke
Stebbins (Auror),2,Stebbins,,(Auror)
Gormlaith Gaunt,2,Gormlaith,,Gaunt
Archer Evermonde,2,Archer,,Evermonde
Cho Chang,2,Cho,,Chang
Gervaise Ollivander,2,Gervaise,,Ollivander
Able Spudmore,2,Able,,Spudmore
Josephina Flint,2,Josephina,,Flint
Boris Vulchanov,2,Boris,,Vulchanov
Rowena Ravenclaw,2,Rowena,,Ravenclaw
Howland Coopey,2,Howland,,Coopey
Pansy Parkinson,2,Pansy,,Parkinson
Hugo Granger-Weasley,2,Hugo,,Granger-Weasley
Natalie McDonald,2,Natalie,,McDonald
William Sayre,2,William,,Sayre
Irene Kneedander,2,Irene,,Kneedander
Barberus Bragge,2,Barberus,,Bragge
Cedric Diggory,2,Cedric,,Diggory
Mercy Ojukwu,2,Mercy,,Ojukwu
Merope Gaunt,2,Merope,,Gaunt
Dragomir Despard,2,Dragomir,,Despard
Bill Gates,2,Bill,,Gates
Elliot Smethwyck,2,Elliot,,Smethwyck
Shintaro Shingo,2,Shintaro,,Shingo
Emma Dobbs,2,Emma,,Dobbs
Bonawentura Wójcik,2,Bonawentura,,Wójcik
Fifi LaFolle,2,Fifi,,LaFolle
Ginny Weasley,2,Ginny,,Weasley
Nellie Bertram,2,Nellie,,Bertram
D.J. Prod,2,D.J.,,Prod
Carol Stills,2,Carol,,Stills
Bellatrix Lestrange,2,Bellatrix,,Lestrange
Lavender Brown,2,Lavender,,Brown
Damocles Belby,2,Damocles,,Belby
Nelson Mandela,2,Nelson,,Mandela
Violetta Beauvais,2,Violetta,,Beauvais
Valmai Morgan,2,Valmai,,Morgan
Henry Ford,2,Henry,,Ford
Hidetoshi Hasagawa,2,Hidetoshi,,Hasagawa
Walter Parkin,2,Walter,,Parkin
Wilda Griffiths,2,Wilda,,Griffiths
Daisy Hookum,2,Daisy,,Hookum
Geraint Ollivander,2,Geraint,,Ollivander
Herbert Burke,2,Herbert,,Burke
Salazar Slytherin,2,Salazar,,Slytherin
Ingrid Bergman,2,Ingrid,,Bergman
Basil Flack,2,Basil,,Flack
Percy Weasley,2,Percy,,Weasley
Ludwig Beethoven,2,Ludwig,,Beethoven
Lennox Campbell,2,Lennox,,Campbell
Radolphus Lestrange,2,Radolphus,,Lestrange
Dirk Cresswell,2,Dirk,,Cresswell
Bertie Bott,2,Bertie,,Bott
Pomona Sprout,2,Pomona,,Sprout
Unctuous Osbert,2,Unctuous,,Osbert
Humphrey Belcher,2,Humphrey,,Belcher
Lance Armstrong,2,Lance,,Armstrong
Josefina Calderon,2,Josefina,,Calderon
Mahatma Gandhi,2,Mahatma,,Gandhi
Narinder Singh,2,Narinder,,Singh
Dilys Derwent,2,Dilys,,Derwent
Orabella Nuttley,2,Orabella,,Nuttley
Stoyanka Grozda,2,Stoyanka,,Grozda
Isobel McGonagall,2,Isobel,,McGonagall
Ernie Prang,2,Ernie,,Prang
Kimiko Kurosawa,2,Kimiko,,Kurosawa
Mrs. Crouch,2,Mrs.,,Crouch
Theseus Scamander,2,Theseus,,Scamander
Wool Woman,2,Wool,,Woman
Poppy Pomfrey,2,Poppy,,Pomfrey
George Orwell,2,George,,Orwell
Stanley Hudson,2,Stanley,,Hudson
Vinda Rosier,2,Vinda,,Rosier
Justin Finch-Fletchley,2,Justin,,Finch-Fletchley
Willy Widdershins,2,Willy,,Widdershins
Caspar Crouch,2,Caspar,,Crouch
Euphemia Potter,2,Euphemia,,Potter
Bernie Pillsworth,2,Bernie,,Pillsworth
Tiger Woods,2,Tiger,,Woods
Momolou Wotorson,2,Momolou,,Wotorson
Ursula Flint,2,Ursula,,Flint
Rutherford Poke,2,Rutherford,,Poke
Mother Teresa,2,Mother,,Teresa
Walburga Black,2,Walburga,,Black
Mary Magdalene,2,Mary,,Magdalene
Xavier Rastrick,2,Xavier,,Rastrick
Marcus Belby,2,Marcus,,Belby
Alfred Hitchcock,2,Alfred,,Hitchcock
Martin Luther King,3,Martin,Luther,King
Pablo Picasso,2,Pablo,,Picasso
